Ref : 1573635,house for sale - kandana -rilaulla ( cash only ),Date : 19 Jun 2018 - 09:06 am,Sell,House & Property,Houses,Gampaha-Kandana,"Rs. 6,000,000"
Ref : 1573638,"a small house for rent in malabe, pittugala",Date : 19 Jun 2018 - 09:05 am,Rent,House & Property,Houses,Colombo,"Rs. 15,000"
Ref : 1573619,luxury house for rent in dehiwala,Date : 19 Jun 2018 - 09:05 am,Rent,House & Property,Houses,Colombo-Dehiwala,"Rs. 60,000"
Ref : 1573621,පානදුර නගරයට නුදුරින් දෙමහල් �...,Date : 19 Jun 2018 - 09:05 am,Sell,House & Property,Houses,Kalutara-Panadura,"Rs. 9,000,000"
Ref : 1573615,house for sale in horethuduwa,Date : 19 Jun 2018 - 09:04 am,Sell,House & Property,Houses,Kalutara-Panadura,"Rs. 4,800,000"
Ref : 1573611,house for sale dampe,Date : 18 Jun 2018 - 05:33 pm,Sell,House & Property,Houses,Colombo,Negotiable
Ref : 1573599,architecturally designed 2 story house with rooftop for sale,Date : 18 Jun 2018 - 04:50 pm,Sell,House & Property,Houses,Colombo-Ethul Kotte,"Rs. 47,000,000"
Ref : 1573597,house for sale in kuliyapitiya,Date : 18 Jun 2018 - 04:28 pm,Sell,House & Property,Houses,Kurunegala-Kuliyapitiya,"Rs. 50,000,000"
Ref : 1573598,"charming bungalow with 51 perches facing kimbulawala bird sanctuary, close to sr...",Date : 18 Jun 2018 - 04:28 pm,Sell,House & Property,Houses,Colombo-Sri Jayawardenepura Kotte,"Rs. 128,000,000"
Ref : 1573591,house for sale in maraluwawa kurunegala,Date : 18 Jun 2018 - 04:21 pm,Sell,House & Property,Houses,Kurunegala,"Rs. 10,500,000"
Ref : 1573588,house for sale in kandy,Date : 18 Jun 2018 - 04:19 pm,Sell,House & Property,Houses,,Negotiable
Ref : 1573589,house for rent,Date : 18 Jun 2018 - 04:19 pm,Rent,House & Property,Houses,Badulla-Badulla,"Rs. 14,000"
Ref : 1573586,"house for sale at colombo rd, wehera, kurunegala",Date : 18 Jun 2018 - 04:19 pm,Sell,House & Property,Houses,Kurunegala-Kurunegala,"Rs. 16,000,000"
Ref : 1573582,නිවස සමග ඉඩම මාතලේ,Date : 18 Jun 2018 - 04:19 pm,Sell,House & Property,Houses,,"Rs. 11,200,000"
Ref : 1573575,annex for lease,Date : 18 Jun 2018 - 03:15 pm,Rent,House & Property,Houses,Kandy-Kundasale,"Rs. 25,000"
Ref : 1572003,upstair house for rent in kotte,Date : 09 Jun 2018 - 04:35 pm,Rent,House & Property,Houses,Colombo,"Rs. 38,000"
Ref : 1571942,houses for sale in kesbewa,Date : 09 Jun 2018 - 10:18 am,Sell,House & Property,Houses,Colombo-Piliyandala,"Rs. 27,500,000"
Ref : 1571700,wanted 4 bedroom house for 2 year rent,Date : 08 Jun 2018 - 09:30 am,Wanted,House & Property,Houses,Colombo-Dehiwala,Negotiable
Ref : 1571516,house for rent in baddegama.,Date : 07 Jun 2018 - 12:19 pm,Rent,House & Property,Houses,Galle-Baddegama,Negotiable
Ref : 1570459,cottage for rent in rajagiriya,Date : 07 Jun 2018 - 10:10 am,Rent,House & Property,Houses,Colombo-Rajagiriya,"Rs. 45,000"
Ref : 1573483,house for sale in kandy,Date : 18 Jun 2018 - 11:23 am,Sell,House & Property,Houses,Kandy-Kandy,"Rs. 14,000,000"
Ref : 1573484,mordern two story house for sale,Date : 18 Jun 2018 - 11:23 am,Sell,House & Property,Houses,Puttalam-Dankotuwa,"Rs. 200,000"
Ref : 1573276,3 bedroom house for rent immediately,Date : 18 Jun 2018 - 09:59 am,Rent,House & Property,Houses,,"Rs. 40,000"
Ref : 1573270,two storey luxury house for sale in piliyandala,Date : 18 Jun 2018 - 09:57 am,Sell,House & Property,Houses,Colombo-Piliyandala,"Rs. 12,000,000"
Ref : 1573262,2 bed room house for rent thalawathugoda brand new,Date : 18 Jun 2018 - 09:56 am,Rent,House & Property,Houses,Colombo-Talawatugoda,"Rs. 50,000"
Ref : 1573247,two story house for sale,Date : 18 Jun 2018 - 09:53 am,Sell,House & Property,Houses,Nuwaraeliya-Watawala,"Rs. 9,000,000"
Ref : 1573243,"sliit opposite ,one bedroom house for rent",Date : 18 Jun 2018 - 09:52 am,Rent,House & Property,Houses,Colombo-Malabe,"Rs. 27,000"
Ref : 1573234,upstairs house for rent in maharagama,Date : 18 Jun 2018 - 09:52 am,Rent,House & Property,Houses,Colombo-Maharagama,"Rs. 75,000"
Ref : 1573237,house and small tea estate for sale,Date : 18 Jun 2018 - 09:51 am,Sell,House & Property,Houses,Galle-Mapalagama,"Rs. 7,000,000"
Ref : 1573190,house for sale in nugegoda,Date : 18 Jun 2018 - 09:48 am,Sell,House & Property,Houses,Colombo-Nugegoda,Negotiable
Ref : 1573188,house for rent in nugegoda,Date : 18 Jun 2018 - 09:45 am,Rent,House & Property,Houses,Colombo-Nugegoda,"Rs. 60,000"
Ref : 1573300,"5 bedroom house ideal for office for rent in jayanthipura, battaramulla junction",Date : 18 Jun 2018 - 09:42 am,Rent,House & Property,Houses,Colombo-Battaramulla,"Rs. 225,000"
Ref : 1573294,house for sale in maraluwawa kurunegala,Date : 18 Jun 2018 - 09:42 am,Sell,House & Property,Houses,Kurunegala,"Rs. 10,500,000"
Ref : 1573297,house for rent,Date : 18 Jun 2018 - 09:41 am,Rent,House & Property,Houses,Colombo-Godagama,"Rs. 30,000"
Ref : 1573290,house for rent,Date : 18 Jun 2018 - 09:41 am,Rent,House & Property,Houses,Ratnapura-Ratnapura,"Rs. 17,500"
Ref : 1573312,house for sale at ambalangoda,Date : 18 Jun 2018 - 09:33 am,Sell,House & Property,Houses,,"Rs. 1,350,000"
Ref : 1573327,single story house for rent at kaduwela,Date : 18 Jun 2018 - 09:32 am,Rent,House & Property,Houses,Colombo-Kaduwela,"Rs. 30,000"
Ref : 1573326,single story house for rent at kaduwela,Date : 18 Jun 2018 - 09:32 am,Rent,House & Property,Houses,Colombo-Kaduwela,"Rs. 30,000"
Ref : 1573354,b'bew house for sale madiwela,Date : 18 Jun 2018 - 09:30 am,Sell,House & Property,Houses,Colombo-Madiwela,"Rs. 30,000,000"
Ref : 1573363,annex for rent in nawala,Date : 18 Jun 2018 - 09:28 am,Rent,House & Property,Houses,Colombo-Nawala,"Rs. 25,000"
Ref : 1556825,"luxury brand new, 3 bedrooms & 3 bathrooms first floor house in boralegamuwa to ...",Date : 07 Jun 2018 - 03:18 am,Rent,House & Property,Houses,Colombo-Boralesgamuwa / Boralasgamuwa,"Rs. 120,000"
Ref : 1571406,newly built house at imbulgoda (kadawatha) for immediate sale,Date : 06 Jun 2018 - 04:06 pm,Sell,House & Property,Houses,Gampaha,"Rs. 30,000,000"
Ref : 1571431,newly built house at imbulgoda (kadawatha) for immediate sale,Date : 06 Jun 2018 - 03:18 pm,Sell,House & Property,Houses,Gampaha,"Rs. 30,000,000"
Ref : 1571311,3 bed room house in nugegoda,Date : 06 Jun 2018 - 11:08 am,Rent,House & Property,Houses,Colombo-Nugegoda,"Rs. 70,000"
Ref : 1571106,house for sale in colombo,Date : 05 Jun 2018 - 09:07 am,Sell,House & Property,Houses,"Colombo-Colombo 15 (Mutwal, Modara, Mattakuliya, Mada","Rs. 25,000,000"
Ref : 1573348,house for rent in bandarawela,Date : 18 Jun 2018 - 09:28 am,Rent,House & Property,Houses,Badulla,Negotiable
Ref : 1573347,brand new beautiful 2 storied luxary house for sale bodering bolgoda river,Date : 18 Jun 2018 - 09:25 am,Sell,House & Property,Houses,Colombo-Moratuwa,"Rs. 49,000,000"
Ref : 1573328,single story house for rent at kaduwela,Date : 18 Jun 2018 - 09:25 am,Rent,House & Property,Houses,Colombo-Kaduwela,"Rs. 30,000"
Ref : 1573330,house for rent,Date : 18 Jun 2018 - 09:25 am,Rent,House & Property,Houses,Colombo-Colombo 9 (Dematagoda),"Rs. 30,000"
Ref : 1573365,house for rent in nawala,Date : 18 Jun 2018 - 09:22 am,Rent,House & Property,Houses,,"Rs. 90,000"
Ref : 1573367,නිවසක් කුලියට යුවළකට හෝ තිදෙන...,Date : 18 Jun 2018 - 09:22 am,Rent,House & Property,Houses,,"Rs. 25,000"
Ref : 1573371,house for rent,Date : 18 Jun 2018 - 09:21 am,Rent,House & Property,Houses,Colombo-Piliyandala,"Rs. 25,000"
Ref : 1573396,"code no 2693-bungalow lease,-col-03",Date : 18 Jun 2018 - 09:20 am,Rent,House & Property,Houses,Colombo-Colombo 3 (Kollupitiya),"Rs. 480,000"
Ref : 1573400,house in piliyandala,Date : 18 Jun 2018 - 08:58 am,Sell,House & Property,Houses,Colombo-Piliyandala,"Rs. 830,000"
Ref : 1573407,"annex for rent in piliyandala , mawiththara",Date : 18 Jun 2018 - 08:56 am,Rent,House & Property,Houses,Colombo-Piliyandala,"Rs. 15,000"
Ref : 1573422,house for rent,Date : 18 Jun 2018 - 08:49 am,Rent,House & Property,Houses,Badulla-Badulla,"Rs. 14,000"
Ref : 1573340,house for sell,Date : 17 Jun 2018 - 11:13 am,Sell,House & Property,Houses,,Negotiable
Ref : 1573334,mount lavinia 6 1/2 perch old house,Date : 17 Jun 2018 - 10:58 am,Sell,House & Property,Houses,,Negotiable
Ref : 1573157,annex for rent,Date : 16 Jun 2018 - 12:33 pm,Rent,House & Property,Houses,Colombo-Nugegoda,"Rs. 30,000"
Ref : 1573159,house for sale in kurunagala,Date : 16 Jun 2018 - 12:33 pm,Sell,House & Property,Houses,Kurunegala-Kurunegala,"Rs. 20,000,000"
Ref : 1573153,house for sale in boralasgamuwa,Date : 16 Jun 2018 - 11:24 am,Sell,House & Property,Houses,Colombo-Boralesgamuwa / Boralasgamuwa,"Rs. 27,500,000"
Ref : 1573142,code no 129f-colonol bungalow lease-col-03,Date : 16 Jun 2018 - 11:23 am,Rent,House & Property,Houses,Colombo-Colombo 3 (Kollupitiya),"Rs. 525,000"
Ref : 1573121,brand new 2 bd room house for rent,Date : 16 Jun 2018 - 10:17 am,Rent,House & Property,Houses,Colombo-Talawatugoda,"Rs. 60,000"
Ref : 1573123,two story brand new house for rent in near battaramulla,Date : 16 Jun 2018 - 10:17 am,Rent,House & Property,Houses,Colombo-Battaramulla,"Rs. 85,000"
Ref : 1573113,house for sale in kurunagala,Date : 16 Jun 2018 - 10:16 am,Sell,House & Property,Houses,Kurunegala-Kurunegala,"Rs. 20,000,000"
Ref : 1572209,brand new house for sale in navinna maharagama,Date : 11 Jun 2018 - 11:43 am,Sell,House & Property,Houses,Colombo-Maharagama,Negotiable
Ref : 1572017,three bed room house for sale 7 million negotiable (urgent),Date : 11 Jun 2018 - 10:31 am,Sell,House & Property,Houses,Colombo-Godagama,"Rs. 7,000,000"
Ref : 1572057,annex for rent - colombo 05,Date : 11 Jun 2018 - 10:31 am,Rent,House & Property,Houses,,"Rs. 95,000"
Ref : 1572169,luxury house for sale in kandy,Date : 11 Jun 2018 - 09:22 am,Sell,House & Property,Houses,Kandy,Negotiable
Ref : 1572164,මහනුවර නිවසක් විකිණිමට ඇත,Date : 11 Jun 2018 - 08:54 am,Sell,House & Property,Houses,Kandy,Negotiable
Ref : 1573576,house for rent in attidiya isuru uyana,Date : 18 Jun 2018 - 03:15 pm,Rent,House & Property,Houses,Colombo-Mount Lavinia,"Rs. 35,000"
Ref : 1573571,brand new fully furnished house for rent at athurugiriya,Date : 18 Jun 2018 - 03:15 pm,Rent,House & Property,Houses,Colombo-Athurugiriya,"Rs. 65,000"
Ref : 1573572,nawala koswatta - house for rent,Date : 18 Jun 2018 - 03:15 pm,Rent,House & Property,Houses,Colombo-Rajagiriya,"Rs. 45,000"
Ref : 1573573,house for sale athurugiriya town,Date : 18 Jun 2018 - 03:15 pm,Sell,House & Property,Houses,,"Rs. 8,000,000"
